Jahr,Kanton,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2012,Uri,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2012,Uri,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Uri,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Schwyz,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,44,135,16,119,81.1
2012,Schwyz,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,25,13,12,23
2012,Schwyz,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Schwyz,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Obwalden,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,9,26,2,24,15.5
2012,Obwalden,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2012,Obwalden,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Obwalden,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Nidwalden,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,8,24,4,20,16.1
2012,Nidwalden,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2012,Nidwalden,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Nidwalden,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Glarus,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,8,19,0,19,12.4
2012,Glarus,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2012,Glarus,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Glarus,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Zug,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,27,115,17,98,73.4
2012,Zug,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,13,4,9,10.4
2012,Zug,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Zug,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Fribourg / Freiburg,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,55,205,23,182,124.6
2012,Fribourg / Freiburg,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,53,21,32,43.7
2012,Fribourg / Freiburg,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Fribourg / Freiburg,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Solothurn,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,62,189,20,169,113.3
2012,Solothurn,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,50,12,38,42.6
2012,Solothurn,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Solothurn,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Basel-Stadt,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,33,123,24,99,84
2012,Basel-Stadt,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,22,6,16,16
2012,Basel-Stadt,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Basel-Stadt,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Basel-Landschaft,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,60,160,25,135,99.9
2012,Basel-Landschaft,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,46,14,32,35.7
2012,Basel-Landschaft,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Basel-Landschaft,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Schaffhausen,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,21,64,10,54,44.2
2012,Schaffhausen,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
