Jahr,Kanton,Wohnbevölkerung am 31.12.2013,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte / Wohnbevolkerung,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2011,Schaffhausen,78783,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Schaffhausen,78783,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Appenzell Ausserrhoden,53691,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,20,46,0.0008567544,7,39,29.4
2011,Appenzell Ausserrhoden,53691,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2011,Appenzell Ausserrhoden,53691,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Appenzell Ausserrhoden,53691,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Appenzell Innerrhoden,15778,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,7,14,0.0008873114,1,13,9.1
2011,Appenzell Innerrhoden,15778,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2011,Appenzell Innerrhoden,15778,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Appenzell Innerrhoden,15778,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,St. Gallen,491699,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,124,340,0.00069148,42,298,235.1
2011,St. Gallen,491699,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,60,0.0001220259,16,44,50.7
2011,St. Gallen,491699,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,St. Gallen,491699,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Graubünden / Grigioni / Grischun,194959,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,37,103,0.0005283162,10,93,66.3
2011,Graubünden / Grigioni / Grischun,194959,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,39,0.0002000421,18,21,32.9
2011,Graubünden / Grigioni / Grischun,194959,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Graubünden / Grigioni / Grischun,194959,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Aargau,636362,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,161,456,0.0007165733,48,408,306.4
2011,Aargau,636362,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,34,5.34287088166798E-005,6,28,30.1
2011,Aargau,636362,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,107,0.0001681433,53,54,100.3
2011,Aargau,636362,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Thurgau,260278,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,67,206,0.0007914614,34,172,128.3
2011,Thurgau,260278,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,20,7.68409162510854E-005,6,14,15.3
2011,Thurgau,260278,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Thurgau,260278,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Ticino,346539,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,70,167,0.0004819082,37,130,120.6
2011,Ticino,346539,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2011,Ticino,346539,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Ticino,346539,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Vaud,749373,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,147,416,0.0005551308,76,340,281.9
2011,Vaud,749373,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,4,107,0.000142786,40,67,88.3
2011,Vaud,749373,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,193,0.0002575486,95,98,172.6
2011,Vaud,749373,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Valais / Wallis,327011,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,59,132,0.0004036561,10,122,78.4
2011,Valais / Wallis,327011,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,60,0.0001834801,22,38,57.5
2011,Valais / Wallis,327011,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Valais / Wallis,327011,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Neuchâtel,176402,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,36,99,0.0005612181,21,78,58.5
2011,Neuchâtel,176402,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,22,0.0001247151,3,19,15.2
2011,Neuchâtel,176402,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Neuchâtel,176402,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Genève,469433,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,70,179,0.0003813111,43,136,131.8
2011,Genève,469433,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,73,0.0001555067,21,52,66
2011,Genève,469433,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Genève,469433,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Jura,71738,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,17,44,0.000613343,5,39,24.2
2011,Jura,71738,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2011,Jura,71738,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Jura,71738,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Zürich,1425538,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,304,992,0.0006958776,146,846,650.2
2012,Zürich,1425538,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,15,355,0.0002490288,120,235,280.9
2012,Zürich,1425538,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,104,7.29549124611199E-005,39,65,85.4
2012,Zürich,1425538,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Bern / Berne,1001281,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,275,883,0.0008818703,114,769,540.8
2012,Bern / Berne,1001281,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,7,174,0.0001737774,59,115,139.5
2012,Bern / Berne,1001281,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Bern / Berne,1001281,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Luzern,390349,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,89,334,0.0008556446,43,291,216.4
2012,Luzern,390349,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,30,7.68543021757453E-005,10,20,22.7
2012,Luzern,390349,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Luzern,390349,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Uri,35865,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,7,23,0.0006412937,1,22,10.5
2012,Uri,35865,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Uri,35865,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Uri,35865,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Schwyz,151396,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,44,135,0.0008917012,16,119,81.1
2012,Schwyz,151396,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,25,0.0001651299,13,12,23
2012,Schwyz,151396,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Schwyz,151396,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Obwalden,36507,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,9,26,0.0007121922,2,24,15.5
2012,Obwalden,36507,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Obwalden,36507,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Obwalden,36507,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Nidwalden,41888,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,8,24,0.0005729565,4,20,16.1
2012,Nidwalden,41888,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Nidwalden,41888,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Nidwalden,41888,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Glarus,39593,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,8,19,0.0004798828,0,19,12.4
2012,Glarus,39593,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Glarus,39593,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Glarus,39593,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Zug,118118,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,27,115,0.0009736027,17,98,73.4
2012,Zug,118118,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,13,0.0001100594,4,9,10.4
2012,Zug,118118,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Zug,118118,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Fribourg / Freiburg,297622,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,55,205,0.0006887932,23,182,124.6
2012,Fribourg / Freiburg,297622,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,53,0.0001780782,21,32,43.7
2012,Fribourg / Freiburg,297622,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Fribourg / Freiburg,297622,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Solothurn,261437,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,62,189,0.0007229275,20,169,113.3
2012,Solothurn,261437,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,50,0.0001912507,12,38,42.6
2012,Solothurn,261437,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Solothurn,261437,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Basel-Stadt,189335,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,33,123,0.0006496422,24,99,84
2012,Basel-Stadt,189335,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,22,0.0001161962,6,16,16
2012,Basel-Stadt,189335,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Basel-Stadt,189335,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
